timestamp,message
0.00,SIM_START
0.02,"[Sequencer] New Task, id_000, C-45, XRAY, Stat"
1.97,"[Sequencer] New Task, id_001, C-28, CT, Stat"
2.33,"[Sequencer] New Task, id_002, C-28, UA5W, Stat"
3.05,"[Sequencer] New Task, id_003, C-45, UA5W, Normal"
3.77,"[Sequencer] New Task, id_004, C-45, UA5W, Stat"
4.07,"[Sequencer] New Task, id_005, C-52, XRAY, Stat"
4.61,"[Sequencer] New Task, id_006, C-33, UA5W, Normal"
5.03,"[Sequencer] New Task, id_007, C-33, XRAY, Normal"
5.57,"[Sequencer] New Task, id_008, C-45, CT, Stat"
6.23,"[Sequencer] New Task, id_009, C-45, CT, Normal"
6.89,"[Sequencer] New Task, id_010, C-37, MRI, Stat"
7.19,"[Sequencer] New Task, id_011, C-37, UA5W, Normal"
7.73,"[Sequencer] New Task, id_012, C-37, XRAY, Normal"
8.21,"[Sequencer] New Task, id_013, C-33, MRI, Normal"
8.57,"[Sequencer] New Task, id_014, C-52, XRAY, Normal"
9.41,"[Sequencer] New Task, id_015, C-33, XRAY, Stat"
10.25,"[Sequencer] New Task, id_016, C-52, MRI, Stat"
10.67,"[Sequencer] New Task, id_017, C-37, MRI, Stat"
11.57,"[Sequencer] New Task, id_018, C-52, MRI, Stat"
12.17,"[Sequencer] New Task, id_019, C-52, XRAY, Normal"
12.53,"[Sequencer] New Task, id_020, C-28, MRI, Normal"
13.31,"[Sequencer] New Task, id_021, C-45, MRI, Normal"
13.97,"[Sequencer] New Task, id_022, C-37, MRI, Stat"
14.27,"[Sequencer] New Task, id_023, C-37, XRAY, Normal"
15.05,"[Sequencer] New Task, id_024, C-37, UA5W, Stat"
15.89,"[Sequencer] New Task, id_025, C-33, XRAY, Normal"
16.55,"[Sequencer] New Task, id_026, C-37, UA5W, Normal"
17.33,"[Sequencer] New Task, id_027, C-37, XRAY, Normal"
17.93,"[Sequencer] New Task, id_028, C-33, CT, Normal"
18.41,"[Sequencer] New Task, id_029, C-37, MRI, Stat"
19.25,"[Sequencer] New Task, id_030, C-52, CT, Stat"
19.55,"[Sequencer] New Task, id_031, C-45, MRI, Normal"
19.91,"[Sequencer] New Task, id_032, C-37, UA5W, Stat"
20.21,"[Sequencer] New Task, id_033, C-37, MRI, Normal"
20.87,"[Sequencer] New Task, id_034, C-45, MRI, Stat"
21.41,"[Sequencer] New Task, id_035, C-28, CT, Normal"
22.13,"[Sequencer] New Task, id_036, C-52, MRI, Normal"
22.61,"[Sequencer] New Task, id_037, C-52, XRAY, Normal"
23.45,"[Sequencer] New Task, id_038, C-28, MRI, Normal"
24.23,"[Sequencer] New Task, id_039, C-33, CT, Normal"
25.07,"[Sequencer] New Task, id_040, C-52, CT, Stat"
25.67,"[Sequencer] New Task, id_041, C-52, CT, Normal"
26.39,"[Sequencer] New Task, id_042, C-45, XRAY, Normal"
26.99,"[Sequencer] New Task, id_043, C-33, MRI, Normal"
27.35,"[Sequencer] New Task, id_044, C-52, CT, Normal"
28.07,"[Sequencer] New Task, id_045, C-33, CT, Normal"
28.91,"[Sequencer] New Task, id_046, C-45, CT, Normal"
29.63,"[Sequencer] New Task, id_047, C-33, MRI, Normal"
29.93,"[Sequencer] New Task, id_048, C-52, UA5W, Normal"
30.59,"[Sequencer] New Task, id_049, C-45, UA5W, Normal"
31.43,"[Sequencer] New Task, id_050, C-52, XRAY, Stat"
32.03,"[Sequencer] New Task, id_051, C-33, CT, Stat"
32.75,"[Sequencer] New Task, id_052, C-52, UA5W, Stat"
33.53,"[Sequencer] New Task, id_053, C-37, UA5W, Normal"
34.43,"[Sequencer] New Task, id_054, C-52, MRI, Normal"
35.09,"[Sequencer] New Task, id_055, C-52, UA5W, Stat"
35.69,"[Sequencer] New Task, id_056, C-52, CT, Normal"
35.99,"[Sequencer] New Task, id_057, C-28, CT, Normal"
